"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex"
"1","Gentoo","Biscoe",49.5,16.1,224,5650,"male"
"2","Gentoo","Biscoe",55.1,16,230,5850,"male"
"3","Adelie","Dream",39.7,17.9,193,4250,"male"
"4","Adelie","Biscoe",35,17.9,190,3450,"female"
"5","Adelie","Torgersen",40.6,19,199,4000,"male"
"6","Chinstrap","Dream",52,18.1,201,4050,"male"
"7","Gentoo","Biscoe",49.2,15.2,221,6300,"male"
"8","Gentoo","Biscoe",50.1,15,225,5000,"male"
"9","Adelie","Torgersen",37.2,19.4,184,3900,"male"
"10","Gentoo","Biscoe",52.1,17,230,5550,"male"
"11","Adelie","Biscoe",45.6,20.3,191,4600,"male"
"12","Gentoo","Biscoe",47.5,14,212,4875,"female"
"13","Chinstrap","Dream",49.7,18.6,195,3600,"male"
"14","Adelie","Torgersen",38.6,21.2,191,3800,"male"
"15","Adelie","Dream",39.8,19.1,184,4650,"male"
"16","Gentoo","Biscoe",49.1,15,228,5500,"male"
"17","Chinstrap","Dream",45.7,17.3,193,3600,"female"
"18","Gentoo","Biscoe",45.8,14.6,210,4200,"female"
"19","Gentoo","Biscoe",48.2,14.3,210,4600,"female"
"20","Adelie","Torgersen",34.6,21.1,198,4400,"male"
"21","Adelie","Biscoe",38.1,16.5,198,3825,"female"
"22","Gentoo","Biscoe",45,15.4,220,5050,"male"
"23","Adelie","Biscoe",36.4,17.1,184,2850,"female"
"24","Adelie","Dream",39,18.7,185,3650,"male"
"25","Chinstrap","Dream",48.5,17.5,191,3400,"male"
"26","Adelie","Dream",40.7,17,190,3725,"male"
"27","Adelie","Dream",35.6,17.5,191,3175,"female"
"28","Chinstrap","Dream",51.3,18.2,197,3750,"male"
"29","Gentoo","Biscoe",48.6,16,230,5800,"male"
"30","Gentoo","Biscoe",50,15.3,220,5550,"male"
"31","Chinstrap","Dream",42.5,17.3,187,3350,"female"
"32","Adelie","Biscoe",35.3,18.9,187,3800,"female"
"33","Adelie","Dream",37,16.9,185,3000,"female"
"34","Gentoo","Biscoe",47.8,15,215,5650,"male"
"35","Gentoo","Biscoe",46.5,14.5,213,4400,"female"
"36","Adelie","Dream",38.8,20,190,3950,"male"
"37","Adelie","Dream",39.2,21.1,196,4150,"male"
"38","Adelie","Torgersen",38.6,17,188,2900,"female"
"39","Adelie","Biscoe",39,17.5,186,3550,"female"
"40","Chinstrap","Dream",45.6,19.4,194,3525,"female"
"41","Chinstrap","Dream",50.2,18.8,202,3800,"male"
"42","Gentoo","Biscoe",45.2,16.4,223,5950,"male"
"43","Adelie","Torgersen",35.9,16.6,190,3050,"female"
"44","Chinstrap","Dream",50,19.5,196,3900,"male"
"45","Adelie","Dream",32.1,15.5,188,3050,"female"
"46","Adelie","Torgersen",38.7,19,195,3450,"female"
"47","Chinstrap","Dream",50.2,18.7,198,3775,"female"
"48","Adelie","Torgersen",42.8,18.5,195,4250,"male"
"49","Adelie","Dream",38.1,17.6,187,3425,"female"
"50","Gentoo","Biscoe",45.5,13.9,210,4200,"female"
"51","Adelie","Dream",36.3,19.5,190,3800,"male"
"52","Adelie","Dream",40.8,18.4,195,3900,"male"
"53","Adelie","Dream",40.2,17.1,193,3400,"female"
"54","Gentoo","Biscoe",51.1,16.3,220,6000,"male"
"55","Adelie","Torgersen",40.9,16.8,191,3700,"female"
"56","Adelie","Dream",42.3,21.2,191,4150,"male"
"57","Chinstrap","Dream",52.2,18.8,197,3450,"male"
"58","Adelie","Biscoe",35.9,19.2,189,3800,"female"
"59","Adelie","Torgersen",43.1,19.2,197,3500,"male"
"60","Gentoo","Biscoe",50.8,15.7,226,5200,"male"
"61","Adelie","Torgersen",38.5,17.9,190,3325,"female"
"62","Chinstrap","Dream",45.4,18.7,188,3525,"female"
"63","Gentoo","Biscoe",45.5,14.5,212,4750,"female"
"64","Adelie","Torgersen",36.7,18.8,187,3800,"female"
"65","Chinstrap","Dream",51.4,19,201,3950,"male"
"66","Gentoo","Biscoe",45.3,13.8,208,4200,"female"
"67","Gentoo","Biscoe",49.8,15.9,229,5950,"male"
"68","Adelie","Biscoe",40.1,18.9,188,4300,"male"
"69","Chinstrap","Dream",45.7,17,195,3650,"female"
"70","Gentoo","Biscoe",43.3,14,208,4575,"female"
"71","Adelie","Torgersen",39.2,19.6,195,4675,"male"
"72","Gentoo","Biscoe",46.2,14.9,221,5300,"male"
"73","Chinstrap","Dream",40.9,16.6,187,3200,"female"
"74","Chinstrap","Dream",42.4,17.3,181,3600,"female"
"75","Gentoo","Biscoe",48.7,14.1,210,4450,"female"
"76","Chinstrap","Dream",51.9,19.5,206,3950,"male"
"77","Adelie","Torgersen",35.1,19.4,193,4200,"male"
"78","Chinstrap","Dream",43.5,18.1,202,3400,"female"
"79","Adelie","Torgersen",41.4,18.5,202,3875,"male"
"80","Gentoo","Biscoe",50,16.3,230,5700,"male"
"81","Adelie","Dream",41.1,17.5,190,3900,"male"
"82","Chinstrap","Dream",49,19.6,212,4300,"male"
"83","Gentoo","Biscoe",46.1,13.2,211,4500,"female"
"84","Adelie","Dream",40.8,18.9,208,4300,"male"
"85","Adelie","Dream",39.6,18.8,190,4600,"male"
"86","Adelie","Dream",34,17.1,185,3400,"female"
"87","Adelie","Biscoe",41.1,19.1,188,4100,"male"
"88","Gentoo","Biscoe",48.4,14.4,203,4625,"female"
"89","Adelie","Dream",41.3,20.3,194,3550,"male"
"90","Gentoo","Biscoe",47.5,15,218,4950,"female"
"91","Adelie","Dream",37.5,18.5,199,4475,"male"
"92","Gentoo","Biscoe",46.2,14.1,217,4375,"female"
"93","Adelie","Dream",39.2,18.6,190,4250,"male"
"94","Adelie","Torgersen",33.5,19,190,3600,"female"
"95","Gentoo","Biscoe",47.3,15.3,222,5250,"male"
"96","Chinstrap","Dream",49,19.5,210,3950,"male"
"97","Adelie","Dream",38.3,19.2,189,3950,"male"
"98","Adelie","Dream",41.1,18.1,205,4300,"male"
"99","Chinstrap","Dream",49.8,17.3,198,3675,"female"
"100","Adelie","Torgersen",34.6,17.2,189,3200,"female"
"101","Gentoo","Biscoe",45.7,13.9,214,4400,"female"
"102","Chinstrap","Dream",46.1,18.2,178,3250,"female"
"103","Adelie","Biscoe",43.2,19,197,4775,"male"
"104","Chinstrap","Dream",47.6,18.3,195,3850,"female"
"105","Gentoo","Biscoe",49.6,16,225,5700,"male"
"106","Gentoo","Biscoe",50.4,15.3,224,5550,"male"
"107","Gentoo","Biscoe",48.4,16.3,220,5400,"male"
"108","Gentoo","Biscoe",43.8,13.9,208,4300,"female"
"109","Gentoo","Biscoe",47.4,14.6,212,4725,"female"
"110","Gentoo","Biscoe",50,15.2,218,5700,"male"
"111","Adelie","Dream",36,18.5,186,3100,"female"
"112","Gentoo","Biscoe",49.1,14.5,212,4625,"female"
"113","Chinstrap","Dream",46.6,17.8,193,3800,"female"
"114","Gentoo","Biscoe",46.4,15.6,221,5000,"male"
"115","Chinstrap","Dream",50.5,18.4,200,3400,"female"
"116","Gentoo","Biscoe",55.9,17,228,5600,"male"
"117","Adelie","Biscoe",41.3,21.1,195,4400,"male"
"118","Adelie","Dream",44.1,19.7,196,4400,"male"
"119","Gentoo","Biscoe",49.1,14.8,220,5150,"female"
"120","Chinstrap","Dream",42.5,16.7,187,3350,"female"
"121","Gentoo","Biscoe",45.3,13.7,210,4300,"female"
"122","Gentoo","Biscoe",42.6,13.7,213,4950,"female"
"123","Adelie","Torgersen",36.7,19.3,193,3450,"female"
"124","Adelie","Dream",36.6,18.4,184,3475,"female"
"125","Adelie","Biscoe",40.5,18.9,180,3950,"male"
"126","Adelie","Torgersen",39.7,18.4,190,3900,"male"
"127","Adelie","Torgersen",41.1,18.6,189,3325,"male"
"128","Adelie","Dream",41.5,18.5,201,4000,"male"
"129","Adelie","Biscoe",40.6,18.6,183,3550,"male"
"130","Adelie","Torgersen",45.8,18.9,197,4150,"male"
"131","Gentoo","Biscoe",45.1,14.5,215,5000,"female"
"132","Adelie","Torgersen",42.9,17.6,196,4700,"male"
"133","Adelie","Biscoe",37.7,18.7,180,3600,"male"
"134","Adelie","Torgersen",46,21.5,194,4200,"male"
"135","Adelie","Dream",39.5,16.7,178,3250,"female"
"136","Chinstrap","Dream",50.9,17.9,196,3675,"female"
"137","Adelie","Biscoe",39.6,17.7,186,3500,"female"
"138","Adelie","Biscoe",42,19.5,200,4050,"male"
"139","Adelie","Torgersen",39.1,18.7,181,3750,"male"
"140","Adelie","Biscoe",39.7,17.7,193,3200,"female"
"141","Chinstrap","Dream",52.7,19.8,197,3725,"male"
"142","Gentoo","Biscoe",47.5,14.2,209,4600,"female"
"143","Chinstrap","Dream",49.3,19.9,203,4050,"male"
"144","Gentoo","Biscoe",50.5,15.9,225,5400,"male"
"145","Adelie","Biscoe",35.5,16.2,195,3350,"female"
"146","Gentoo","Biscoe",46.1,15.1,215,5100,"male"
"147","Adelie","Biscoe",37.8,20,190,4250,"male"
"148","Gentoo","Biscoe",46.6,14.2,210,4850,"female"
"149","Adelie","Torgersen",40.3,18,195,3250,"female"
"150","Gentoo","Biscoe",45.1,14.4,210,4400,"female"
"151","Adelie","Biscoe",38.8,17.2,180,3800,"male"
"152","Adelie","Dream",36.5,18,182,3150,"female"
"153","Gentoo","Biscoe",50.5,15.9,222,5550,"male"
"154","Gentoo","Biscoe",51.1,16.5,225,5250,"male"
"155","Gentoo","Biscoe",43.6,13.9,217,4900,"female"
"156","Adelie","Dream",33.1,16.1,178,2900,"female"
"157","Gentoo","Biscoe",42.9,13.1,215,5000,"female"
"158","Gentoo","Biscoe",43.5,14.2,220,4700,"female"
"159","Chinstrap","Dream",46.4,17.8,191,3700,"female"
"160","Chinstrap","Dream",45.2,17.8,198,3950,"female"
"161","Adelie","Dream",36.8,18.5,193,3500,"female"
"162","Adelie","Dream",42.2,18.5,180,3550,"female"
"163","Gentoo","Biscoe",45.5,15,220,5000,"male"
"164","Adelie","Torgersen",39.5,17.4,186,3800,"female"
"165","Gentoo","Biscoe",46.3,15.8,215,5050,"male"
"166","Adelie","Torgersen",39.3,20.6,190,3650,"male"
"167","Gentoo","Biscoe",48.1,15.1,209,5500,"male"
"168","Gentoo","Biscoe",54.3,15.7,231,5650,"male"
"169","Chinstrap","Dream",43.2,16.6,187,2900,"female"
"170","Chinstrap","Dream",50.3,20,197,3300,"male"
"171","Chinstrap","Dream",55.8,19.8,207,4000,"male"
"172","Adelie","Biscoe",36.5,16.6,181,2850,"female"
"173","Gentoo","Biscoe",51.5,16.3,230,5500,"male"
"174","Gentoo","Biscoe",47.2,15.5,215,4975,"female"
"175","Adelie","Biscoe",41.1,18.2,192,4050,"male"
"176","Gentoo","Biscoe",45.5,13.7,214,4650,"female"
"177","Adelie","Biscoe",37.9,18.6,193,2925,"female"
"178","Adelie","Torgersen",39,17.1,191,3050,"female"
"179","Gentoo","Biscoe",48.5,14.1,220,5300,"male"
"180","Adelie","Biscoe",39.6,20.7,191,3900,"female"
"181","Gentoo","Biscoe",45.2,14.8,212,5200,"female"
"182","Gentoo","Biscoe",45.2,15.8,215,5300,"male"
"183","Gentoo","Biscoe",49.3,15.7,217,5850,"male"
"184","Adelie","Torgersen",35.2,15.9,186,3050,"female"
"185","Adelie","Biscoe",38.2,20,190,3900,"male"
"186","Gentoo","Biscoe",50,15.9,224,5350,"male"
"187","Adelie","Torgersen",40.2,17,176,3450,"female"
"188","Gentoo","Biscoe",46.9,14.6,222,4875,"female"
"189","Chinstrap","Dream",52,20.7,210,4800,"male"
"190","Adelie","Dream",37.6,19.3,181,3300,"female"
"191","Adelie","Dream",41.1,19,182,3425,"male"
"192","Chinstrap","Dream",45.9,17.1,190,3575,"female"
"193","Chinstrap","Dream",46.2,17.5,187,3650,"female"
"194","Gentoo","Biscoe",50.7,15,223,5550,"male"
"195","Chinstrap","Dream",58,17.8,181,3700,"female"
"196","Adelie","Dream",40.9,18.9,184,3900,"male"
"197","Adelie","Biscoe",37.9,18.6,172,3150,"female"
"198","Gentoo","Biscoe",49.8,16.8,230,5700,"male"
"199","Chinstrap","Dream",50.1,17.9,190,3400,"female"
"200","Chinstrap","Dream",46.7,17.9,195,3300,"female"
"201","Chinstrap","Dream",54.2,20.8,201,4300,"male"
"202","Gentoo","Biscoe",48.2,15.6,221,5100,"male"
"203","Gentoo","Biscoe",44.9,13.8,212,4750,"female"
"204","Chinstrap","Dream",51.3,19.2,193,3650,"male"
"205","Gentoo","Biscoe",48.8,16.2,222,6000,"male"
"206","Chinstrap","Dream",50.8,18.5,201,4450,"male"
"207","Chinstrap","Dream",46.4,18.6,190,3450,"female"
"208","Gentoo","Biscoe",45.2,13.8,215,4750,"female"
"209","Gentoo","Biscoe",42.7,13.7,208,3950,"female"
"210","Adelie","Torgersen",41.8,19.4,198,4450,"male"
"211","Gentoo","Biscoe",47.2,13.7,214,4925,"female"
"212","Chinstrap","Dream",50.7,19.7,203,4050,"male"
"213","Adelie","Dream",36.2,17.3,187,3300,"female"
"214","Gentoo","Biscoe",43.3,13.4,209,4400,"female"
"215","Adelie","Torgersen",34.4,18.4,184,3325,"female"
"216","Adelie","Biscoe",35,17.9,192,3725,"female"
"217","Gentoo","Biscoe",49,16.1,216,5550,"male"
"218","Gentoo","Biscoe",49.9,16.1,213,5400,"male"
"219","Gentoo","Biscoe",43.2,14.5,208,4450,"female"
"220","Adelie","Dream",40.6,17.2,187,3475,"male"
"221","Adelie","Biscoe",40.6,18.8,193,3800,"male"
"222","Chinstrap","Dream",45.2,16.6,191,3250,"female"
"223","Adelie","Dream",36,17.8,195,3450,"female"
"224","Chinstrap","Dream",50.8,19,210,4100,"male"
"225","Gentoo","Biscoe",51.3,14.2,218,5300,"male"
"226","Adelie","Torgersen",41.1,17.6,182,3200,"female"
"227","Gentoo","Biscoe",47.6,14.5,215,5400,"male"
"228","Adelie","Dream",35.7,18,202,3550,"female"
"229","Adelie","Biscoe",37.6,17,185,3600,"female"
"230","Adelie","Dream",38.1,18.6,190,3700,"female"
"231","Chinstrap","Dream",50.5,19.6,201,4050,"male"
"232","Gentoo","Biscoe",46.8,14.3,215,4850,"female"
"233","Gentoo","Biscoe",46.8,15.4,215,5150,"male"
